,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
121,1e-07,False,rbf,0.1,3,0.05,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3, 'coef0': 0.05}",0.1718494271685761,0.019563813464498318,58,0.8089357346829879,0.0036333560448614955,
122,1e-08,False,rbf,0.05,4,0.2,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 4, 'coef0': 0.2}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
123,1e-08,False,rbf,0.15,0,0.6000000000000001,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 0, 'coef0': 0.6000000000000001}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
124,0.0001,True,sigmoid,0.15,5,0.6000000000000001,"{'tol': 0.0001, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.15, 'degree': 5, 'coef0': 0.6000000000000001}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
125,1e-09,True,rbf,auto,0,0.15000000000000002,"{'tol': 1e-09, 'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 0, 'coef0': 0.15000000000000002}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
126,1e-08,False,rbf,0.2,5,0.7000000000000001,"{'tol': 1e-08, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 5, 'coef0': 0.7000000000000001}",0.16530278232405893,0.013761563434356517,90,0.8538702979844863,0.004646912686907823,
127,0.1,True,rbf,0.2,2,0.15000000000000002,"{'tol': 0.1, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.2, 'degree': 2, 'coef0': 0.15000000000000002}",0.16530278232405893,0.013761563434356517,90,0.8530537537994475,0.004574572151543546,
128,1e-05,True,rbf,0.15,3,0.35000000000000003,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 3, 'coef0': 0.35000000000000003}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
129,1e-05,True,rbf,0.15,3,0.9500000000000001,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 3, 'coef0': 0.9500000000000001}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
130,0.01,True,sigmoid,0.2,3,0.30000000000000004,"{'tol': 0.01, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 3, 'coef0': 0.30000000000000004}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
