,Unnamed: 0,param_gamma,param_kernel,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore,avgTrainScore
47,47,0.6,sigmoid,0.2794117647058824,0.0940335891715769,58,0.31262216862912,0.02861533870284575,0.2749494949494949,0.31262216862912
51,51,0.65,sigmoid,0.2794117647058824,0.0940335891715769,58,0.3130507400576914,0.03148012387576029,0.2749494949494949,0.3130507400576914
53,53,0.7,poly,0.2794117647058824,0.046691600463123734,58,0.3087616683217478,0.014323204546452613,0.2823232323232323,0.3087616683217478
35,35,0.45,sigmoid,0.2794117647058824,0.0940335891715769,58,0.3231100392490661,0.037690051205252685,0.2749494949494949,0.3231100392490661
67,67,0.85,sigmoid,0.2647058823529412,0.09742230145005068,73,0.32062216862912,0.03889579554415441,0.2638383838383838,0.32062216862912
57,57,0.75,poly,0.2647058823529412,0.03685520649581953,73,0.3314516952759257,0.016349746774497815,0.26898989898989895,0.3314516952759257
71,71,0.9,sigmoid,0.2647058823529412,0.09742230145005068,73,0.32062216862912,0.03889579554415441,0.2638383838383838,0.32062216862912
63,63,0.7999999999999999,sigmoid,0.2647058823529412,0.09742230145005068,73,0.3241309405589446,0.03748466859321697,0.2638383838383838,0.3241309405589446
61,61,0.7999999999999999,poly,0.2647058823529412,0.03685520649581953,73,0.3530824230387289,0.03203611533647573,0.26898989898989895,0.3530824230387289
75,75,0.95,sigmoid,0.2647058823529412,0.09742230145005068,73,0.32062216862912,0.03889579554415441,0.2638383838383838,0.32062216862912
59,59,0.75,sigmoid,0.2647058823529412,0.09742230145005068,73,0.3241309405589446,0.03748466859321697,0.2638383838383838,0.3241309405589446
79,79,1.0,sigmoid,0.2647058823529412,0.09742230145005068,73,0.32776502577197714,0.04453747438364925,0.2638383838383838,0.32776502577197714
